Micro-cycles


mcXX – Nom : Focus/thème | Objectif | Méthode d’entainement | Format(série, rep, respi, récup) |  Mouvements-clés | Progression | Intensité
mcE27 – Cardio continu zone 2 confirmé : maintien long à intensité contrôlée | renforcer le travail en Z2 | cardio zone 2 longue durée | 1x30’ zone 2 | course continue, vélo long | +5’ par séance | intensité faible
mcE28 – Fartlek léger 2’/1’ intermédiaire : variations d’allure légères | développer capacité de relance | méthode Fartlek classique | 6 blocs 2’ rapide / 1’ lent | course lente/course rapide, vélo varié | +1 bloc ou +intensité | intensité faible à moyenne
mcE29 – Fartlek léger 2’/1’ confirmé : relances cardio stables | alternance effort/récupération régulière | méthode Fartlek sur terrain vallonné | 8 blocs 2’ effort / 1’ relâche | course en nature | +2 blocs ou +vitesse | intensité moyenne
mcE30 – Intervalles pyramide intermédiaire : progressif + dégressif | gestion effort croissant/décroissant | méthode pyramide cardio | 1 pyramide : 1–2–3–2–1 min / récup 1’ | rameur, airbike, course | +1 pyramide ou +5’’ effort | intensité moyenne
mcE31 – Intervalles pyramide confirmé : pyramide double effort | tolérance aux variations d’intensité | méthode pyramide croisée | 2 pyramides 1–2–3–2–1 min, récup 1’ | rameur + course alternées | +1 pyramide ou +cadence | intensité moyenne
mcE32 – Endurance + gainage dynamique débutant : effort modéré + stabilité | allier endurance douce et stabilité | circuit mixte zone 2 + gainage | 3x(4’ cardio zone 2 + 30’’ planche), récup 1’ | rameur, marche rapide + planche | +30’’ cardio ou +1 série | intensité faible
mcE33 – Endurance + gainage dynamique intermédiaire : stabilité sous effort prolongé | renforcer le tronc en continu | circuit zone 2 + gainage actif | 4x(5’ zone 2 + 45’’ gainage), récup 1’ | vélo, footing + planche latérale | +1 cycle ou +temps de gainage | intensité faible à moyenne
mcE34 – Circuit outdoor long débutant : mobilité + cardio nature | améliorer souffle en environnement naturel | circuit plein air | 2 tours × 5 exos × 1’ effort / 20’’ récup | marche active, steps, fente, push-up, montée genoux | +1 exo ou +temps effort | intensité faible
mcE35 – Circuit outdoor long intermédiaire : résistance cardio nature | maintenir effort sous contrainte continue | circuit fonctionnel nature | 3 tours × 6 exos × 1’ effort / 15’’ récup | lunges, squats, dips, corde, planche, step-up | +1 tour ou +charge naturelle | intensité faible
mcE36 – Vélocité basse intensité débutant : maîtrise de cadence | construire l’efficacité du pédalage | entraînement vélocité continue | 3x3’ à 90–95 rpm / récup 1’ | vélo stationnaire | +1’ par bloc ou +cadence | intensité faible
mcE37 – Vélocité basse intensité intermédiaire : vélocité fluide | maintenir cadence constante sur durée | cardio cadence constante | 4x3’ à 95–105 rpm / récup 1’ | vélo | +1 rpm ou +1’ | intensité faible
mcE38 – Cardio multi-appareils intermédiaire : endurance croisée | stimuler capacité aérobie avec variété | cardio croisé continu | 3x6’ rameur, vélo, course / récup 1’ | rameur, vélo, tapis de course | +1’/appareil ou +intensité | intensité faible à moyenne
mcE39 – Cardio multi-appareils confirmé : tolérance cardio variée | stabiliser intensité en Z2 multi-appareils | cardio croisé prolongé | 3x8’ rameur, ski erg, assault bike / récup 1’ | rameur, ski, bike | +1’/appareil ou +5% intensité | intensité moyenne
mcE40 – HIIT modéré 30’’/30’’ intermédiaire : effort contrôlé court | augmenter tolérance effort fractionné | méthode HIIT 30’’/30’’ | 2x8 exos 30’’/30’’, récup 1’ entre séries | burpees, squats, dips, air squat | +2 reps ou +vitesse | intensité moyenne
mcE41 – HIIT modéré 30’’/30’’ confirmé : HIIT maîtrisé | résistance sous effort répété | méthode HIIT stable | 2x10 exos 30’’/30’’, récup 1’ entre blocs | push-up, squat jump, MC, thruster | +1 rep/série ou +charge | intensité moyenne
mcE42 – Cardio + mobilité active débutant : amplitude en mouvement | coupler cardio léger et mobilité fluide | routine alternée cardio/mobilité | 3x(3’ cardio + 1’ flow), récup 1’ | marche rapide, air squat, flow hanches/épaules | +1 cycle ou +amplitude | intensité faible
mcE43 – Cardio + mobilité active intermédiaire : endurance articulaire | maintenir l’amplitude sous effort | split Z2 + mobilité fluide | 4×(4’ cardio Z2 + 1’ flow mobilité), récup 1’ | course lente, rameur, squats dynamiques, openers | +1 cycle ou +30’’ cardio | intensité faible-moyenne
mcE44 – Trail urbain dénivelé intermédiaire : relance + variations légères | gérer l’effort sur terrain changeant | endurance en continu | 25 min en parcours vallonné | montée douce, descente contrôlée, appuis dynamiques | +5’ ou +relief | intensité faible-moyenne
mcE45 – Trail urbain dénivelé confirmé : montée/descente active | travail mixte cadence + coordination | effort continu outdoor | 35’ sur dénivelé modéré à soutenu | foulées longues, montées actives, descentes freinées | +1 zone ou +vitesse | intensité moyenne
mcE46 – Fractionné long intermédiaire : répétitions longues contrôlées | maintenir le seuil aérobie | intervalles 4’/2’ récup | 4×4’ effort + 2’ récup passive | course, rameur, vélo | +1 rep ou +30’’ effort | intensité moyenne
mcE47 – Fractionné long confirmé : intensité soutenue | tolérer des efforts longs répétés | intervalles classiques | 5×5’ effort + 2’ récup active | footing, airbike, course sur tapis | +1 rep ou +5% vitesse | intensité moyenne-haute
mcE48 – Vélo résistance progressive intermédiaire : force cycliste | maintien cadence sous charge | EMOM cycliste | 3×4’ @85-90 rpm, résistance croissante | home trainer, vélo d’appart | +1 bloc ou +1’ effort | intensité moyenne
mcE49 – Vélo résistance progressive confirmé : endurance de force | progression charge à cadence fixe | split cycliste | 4×5’ @90 rpm, résistance croissante | vélo indoor ou route | +1 palier ou +5% intensité | intensité moyenne
mcE50 – Parcours cardio ludique débutant : coordination + effort doux | initier appuis dynamiques | circuit fonctionnel simple | 3 tours × 5×45’’, récup 15’’ | steps, sauts, tap, shadow boxing, squats | +1 exo ou +1 tour | intensité faible
mcE51 – Parcours cardio ludique intermédiaire : cardio + agilité | enchaînement d’exos rythmés | circuit multi-appuis | 4 tours × 6×45’’, récup 15’’ | jump rope, step lateral, dips, MC, jump squat, push-up | +10’’ effort ou +1 tour | intensité faible-moyenne
mcE52 – Circuit aérobie basique débutant : aérobie fondamentale | effort doux en continu | circuit cardio basique | 4×3’ @50‑60% FCM, récup 1’ | marche rapide, vélo doux, rameur | +30’’/bloc | intensité faible
mcE53 – Circuit aérobie basique intermédiaire : aérobie stable | effort prolongé en Z1-Z2 | circuit cardio Z2 | 4×4’ @60% FCM, récup 1’ | rameur, vélo, footing lent | +1 bloc ou +1’ effort | intensité faible
mcE54 – Vélo cadence stable débutant : technique pédalage | maintien fluide à basse intensité | split cadence | 3×6’ @80–90 rpm | vélo d’intérieur ou route | +1’ ou +5 rpm | intensité faible
mcE55 – Vélo cadence stable intermédiaire : cadence prolongée | maintenir effort sur durée | cadence soutenue | 3×8’ @90–95 rpm | vélo elliptique ou home trainer | +2’ ou +intensité légère | intensité faible-moyenne
mcE56 – Fractionné VMA confirmé : puissance aérobie | travailler à VMA | intervalles VMA | 10–12×(1’/1’) @95–100% VMA | course ou airbike | +1 rep ou +0,5 km/h | intensité haute
mcE57 – Long run progressif intermédiaire : endurance prolongée | effort linéaire stable | course continue Z2–Z3 | 40–50’ footing à allure constante | terrain plat ou légèrement vallonné | +5’ par semaine | intensité moyenne
mcE58 – Long run progressif confirmé : progression d’allure | tolérance à l’effort prolongé | course par paliers | 60’ : 4×15’ à vitesse croissante | +5’ ou +0,5 km/h | intensité moyenne-haute
mcE59 – Séance seuil confirmé : effort proche du seuil | tolérance à l’acidité musculaire | intervalles seuil | 3×8’ ou 2×10’ @85% VMA, récup 2’ | course, vélo ou rameur | +1 bloc ou +1’ effort | intensité moyenne-haute
mcE60 – Ultra-endurance confirmé : effort très long | combo cyclisme + course | entraînement croisé longue durée | 90’ vélo + 20’ course | home trainer + tapis / outdoor | +10’ vélo ou +5’ course | intensité moyenne-haute
mcE61 – Cardio multi-modalité intermédiaire : cardio long mixte | transitions multi-appareils | circuit croisé | 6×10’ rameur, course, vélo | +5’ ou +intensité appareil | intensité moyenne
mcE62 – Cardio multi-modalité confirmé : tolérance prolongée | effort maintenu sur intensité variable | circuit croisé avec progression | 6×10’ rameur, assault bike, course, vélo | +10’ total ou +1 modalité | intensité moyenne-haute
🟫 F. Santé mentale & récupération
mcF01 – Gestion du stress débutant : relaxation générale | réduire les tensions mentales et physiques | respiration guidée + étirements passifs | 3 blocs de 5 min, sans effort physique | respiration diaphragmatique, étirement cervical, genoux-poitrine | +1 min/bloc ou +1 posture | intensité très faible
mcF02 – Gestion du stress intermédiaire : recentrage mental | apaiser le système nerveux | routine respiration + auto-massage | 3 blocs de 6–8 min, sans contrainte | respiration nasale, acupression trapèze, étirement trapèze/nuque | +1 min/bloc ou +complexité geste | intensité faible
mcF03 – Gestion du stress confirmé : libération profonde | relâcher tensions via contraction/relâchement | technique Jacobson (PRM) | 4 blocs de 10 min, 5–6 cycles de contraction/relâchement par groupe musculaire | épaules, mains, cuisses, visage | +1 cycle ou +zone | intensité modérée
mcF04 – Routine régénérante débutant : relance corporelle | sortir d’un état de fatigue | routine mobilité douce | 3 séquences de 5 min, sans charge | cercles articulaires, cat/cow, balancements jambes | +1 mouvement/séquence | intensité très faible
mcF05 – Routine régénérante intermédiaire : tonus doux + récupération | combiner mobilité et relaxation active | routine combinée flow + respiration | 3 circuits de 10 min, récupération active lente | balancements amples, rotations articulaires, posture chien-tête-en-bas | +1 exo ou +durée | intensité faible
mcF06 – Routine régénérante confirmé : récupération active globale | relancer sans surcharge | flow postural dynamique | 4 séquences de 3 min, transitions continues | fente ouverte, ouverture thorax, planche dynamique | +1 séquence ou +temps par exo | intensité modérée
mcF07 – Retour d’énergie débutant : relancer vitalité | sortir d’un état d’inertie mentale et physique | routine respiration + mouvement fluide | 3 x 5 min, sans pause | balancements latéraux, respiration amplifiée, auto-massage crânien | +10’’/mvt ou +1 exo | intensité faible
mcF08 – Retour d’énergie intermédiaire : réveil corps-esprit | combiner mouvement doux + oxygénation | circuit flow énergétique | 3 blocs dynamiques de 7 min, récup 1 min | step léger, ouverture hanches, respiration 4-4 | +1 mouvement ou +durée | intensité modérée
mcF09 – Retour d’énergie confirmé : réactivation globale guidée | stimuler tonus et clarté mentale | routine flow + respiration guidée | 3 séquences de 8 min, transitions au sol/debout | low lunge, cercles d’épaules, posture dynamique + respiration 4-7-8 | +1 min ou +cycle respiratoire | intensité modérée à élevée
mcF10 – Relâchement myofascial débutant : détente physique | relâcher tensions superficielles | auto-massage rouleau mousse | 3 zones x 1 min (ischios, trapèzes, mollets) | foam roller + respiration lente | +1 zone ou +30 sec/zone | intensité très faible
mcF11 – Relâchement myofascial intermédiaire : décongestion musculaire | libérer tensions profondes | routine de pression ciblée + respiration | 4 zones x 1’30’’, récupération passive | quadriceps, lombaires, fessiers, cou | +1 zone ou +15’’/zone | intensité faible
mcF12 – Relâchement myofascial confirmé : récupération avancée | améliorer proprioception et relâchement | foam rolling profond + pression lente | 5 zones x 2 min, transitions lentes | TFL, pectoraux, piriforme, mollets, trapèzes | +outil plus dense ou +temps/zone | intensité modérée
mcF13 – Séance lente guidée débutant : apaisement de base | réduire tension corporelle et mentale | relaxation au sol + respiration lente | 2 blocs de 4 min, transitions douces | posture fœtale, auto-massage ventre, souffle abdominal | +1 min ou +1 posture | intensité très faible
mcF14 – Séance lente guidée intermédiaire : relâchement actif progressif | reconnecter souffle et gestuelle | flow lent au sol | 3 blocs de 5 min, récupération passive | twist spinal, posture enfant, ouverture thoracique | +1 posture ou +temps posture | intensité faible
mcF15 – Séance lente guidée confirmé : relâchement profond | apaiser le système nerveux parasympathique | flow doux + pauses respirées | 4 blocs de 5 min, transitions lentes | posture papillon, respiration carrée, ouverture dos | +1 exo ou +1 cycle respiratoire | intensité très faible
mcF16 – Respiration & recentrage débutant : attention au souffle | reconnecter au corps + présence | technique de respiration 4–7–8 | 3 séquences de 3 min | respiration nasale, apnée douce, scan thoracique | +1 cycle ou +30’’ | intensité très faible
mcF17 – Respiration & recentrage intermédiaire : ancrage respiratoire | activer système parasympathique | cohérence cardiaque + respiration alternée | 4 blocs de 3–4 min, sans pause | inspire 5 sec, expire 5 sec, narine alternée | +1 min/bloc ou +profondeur souffle | intensité très faible
mcF18 – Respiration & recentrage confirmé : maîtrise autonome | améliorer variabilité cardiaque | respiration carrée + rétention courte | 3 cycles de 5–6 min | 4-4-4-4, diaphragmatique, apnée légère | +1 cycle ou +complexité | intensité faible
mcF19 – Décompression corporelle débutant : relâchement global | diminuer tensions physiques profondes | auto-massage + mobilisation passive | 3 exos × 2×30 sec | trapèze, lombaires, hanches | +1 exo ou +durée | intensité très faible
mcF20 – Décompression corporelle intermédiaire : récupération active | relâcher après stress ou effort | routine d’étirement + respiration | 4 exos × 3 séries, récupération passive | ischios, quadriceps, dos, épaules | +15’’ ou +1 posture | intensité faible
mcF21 – Décompression corporelle confirmée : relâchement avancé | libérer tensions résiduelles | séquence foam roller + mobilité lente | 5 exos x 3 séries (45’’ à 1’) | piriforme, psoas, thorax, épaules, fessiers | +1 exo ou +durée posture | intensité faible à modérée
mcF22 – Étirements respirés débutant : fluidité + détente | relâcher via respiration guidée | stretching passif avec tempo respiratoire | 3 circuits de 3×30 sec | ischio, bras au mur, quadriceps | +10’’ ou +1 cycle respi/posture | intensité très faible
mcF23 – Étirements respirés intermédiaire : étirement conscient | améliorer l’amplitude tout en calmant le mental | stretching passif synchronisé à la respiration | 4 exos × 3 séries de 45–60’’, respiration guidée lente, récup 30’’ | ischio-jambiers, chaîne postérieure, ouverture épaules, bassin | +1 exo ou +10’’ par série | intensité faible
mcF24 – Étirements respirés confirmé : relâchement postural profond | approfondir l’amplitude avec souffle contrôlé | postures passives avec respiration en 4 temps | 5 postures × 3 séries de 60–90’’, respiration 4-7-8, récup 30’’ | ouverture scapulaire, quadriceps, hanches, rachis | +1 cycle respiratoire ou +15’’ posture | intensité faible à modérée
mcF25 – Relaxation active débutant : relâchement mental léger | activer le calme sans inactivité | flow postural doux | 3 séries × 3 mouvements × 30’’, respiration fluide, récup 30’’ | balancements, sway latéral, respiration rythmée | +1 série ou +5’’ par mouvement | intensité très faible
mcF26 – Relaxation active intermédiaire : recentrage + récupération | stabiliser l’attention et relâcher les tensions | routine dynamique lente | 4 circuits × 3 exos × 40’’, respiration calme, récup 30’’ | cercle bras, cat cow, pas fluides | +1 circuit ou +temps de mouvement | intensité faible
mcF27 – Relaxation active avancé : réinitialisation psycho-corporelle | évacuer stress résiduel et fatigue mentale | flow respiratoire au sol | 4 cycles × 3 exos × 45–60’’, respiration diaphragmatique, récup 30’’ | pigeon, spine twist, hollow hold | +1 cycle ou +10’’ de maintien | intensité faible
mcF28 – Routine sommeil débutant : induction douce | favoriser l’endormissement naturel | protocole respiratoire lent + stretching passif | 3 blocs × 2 exos × 1’, respiration nasale 5-5, récup 30’’ | étirement nuque, dos au sol, respiration allongée | +1 exo ou +1 cycle respiratoire | intensité très faible
mcF29 – Routine sommeil intermédiaire : régulation circadienne | apaiser système nerveux pour l’endormissement | respiration 4-7-8 + postures restauratives | 3 séries × 2 postures × 90’’, respiration contrôlée, récup 30’’ | child pose, papillon allongé, open chest | +1 posture ou +15’’ | intensité très faible
mcF30 – Routine sommeil confirmé : relâchement pré-sommeil profond | optimiser la transition vers le sommeil lent | respiration carrée + stretching passif long | 3 cycles × 2 postures × 2’, respiration 4-4-4-4, récup 1’ | jambes au mur, rotation au sol, papillon passif | +1 cycle ou +1 cycle respiratoire | intensité très faible
mcF31 – Libération des tensions débutant : relâchement physique & nerveux | désamorcer tensions musculaires et émotionnelles | scan corporel + respiration localisée | 3 séries × 3 exercices × 1’, respiration ciblée, récup 30’’ | respiration thoracique, pression frontale, étirement cervical | +1 exo ou +5’’ respiration | intensité très faible
mcF32 – Stretching global doux débutant : détente corporelle | initier les étirements passifs | routine passive guidée | 3 séries × 5 postures × 30’’, respiration libre, récup 30’’ | ischio-jambiers, trapèzes, lombaires, bras | +1 posture ou +10’’ | intensité très faible
mcF33 – Stretching global intermédiaire : mobilité post-séance | maintenir les amplitudes musculaires | routine semi-active avec respiration lente | 4 séries × 6 exos × 45’’, respiration profonde, récup 30’’ | quadriceps, adducteurs, rachis, ouverture scapulaire | +1 exo ou +10’’ | intensité faible
mcF34 – Stretching complet confirmé : récupération avancée | relaxation profonde avec amplitude maximale | stretching prolongé + respiration lente | 3 cycles × 6 exos × 90’’, respiration calme, récup 30’’ | pectoraux, fessiers, split passif, rotation allongée | +1 cycle ou +15’’/posture | intensité faible
mcF35 – Flow mobilité + gainage isométrique débutant : contrôle global | renforcer la posture par le mouvement | flow postural lent + maintien | 3 cycles × (2 exos mobilité × 30’’ + 1 gainage 20’’), récup 30’’ | cat/cow, ouverture hanche, gainage coude | +5’’ gainage ou +1 cycle | intensité très faible
mcF36 – Flow mobilité + gainage isométrique intermédiaire : coordination posturale | enchaîner mobilité et stabilité | routine mobilité + stabilité isométrique | 4 séquences × 3 exos × 30–40’’, récup 30’’ | bird-dog, pigeon stretch, gainage latéral | +1 séquence ou +10’’ | intensité faible
mcF37 – Flow mobilité + gainage isométrique confirmé : stabilité fluide | enchaîner sous contrôle respiratoire | flow dynamique avec maintien | 3 rounds × 3 mouvements × 45’’, respiration maîtrisée, récup 30’’ | low lunge twist, hollow hold, reverse plank | +temps maintien ou +1 round | intensité faible à modérée
mcF38 – Routine stretching complet débutant : détente ciblée | étirer progressivement toutes les zones | routine passive guidée | 3 blocs × 4 postures × 30’’, respiration libre, récup 30’’ | ischio, ouverture épaules, étirement dos, fessiers | +10’’/posture ou +1 posture | intensité très faible
mcF39 – Routine stretching complet intermédiaire : détente + amplitude | étirements tenus avec respiration lente | routine semi-active guidée | 4 blocs × 3 postures × 45’’, respiration contrôlée, récup 30’’ | quadri, pigeon, ouverture hanches, dos | +1 posture ou +15’’ | intensité faible
mcF40 – Routine stretching complet confirmé : récupération profonde | étirement prolongé avec respiration lente | routine passive maintenue | 3 cycles × 4 postures × 60’’, respiration profonde, récup 30’’ | rotation allongée, split passif, pectoraux sur mur, dos au sol | +1 cycle ou +1 posture | intensité faible
mcF41 – Flow mobilité + respiration débutant : relaxation active | synchroniser respiration et mouvement simple | flow respiratoire guidé | 3 cycles × 3 exos × 30’’, respiration diaphragmatique, récup 30’’ | ouverture thorax, bras allongé, souffle rythmique | +1 cycle ou +5’’ | intensité très faible
mcF42 – Flow mobilité + respiration intermédiaire : lâcher-prise progressif | améliorer fluidité posturale et souffle conscient | flow postural calme | 4 séquences × 3 exos × 30–45’’, respiration consciente, récup 30’’ | dynamique cage thoracique, étirement dos, souffle carré | +1 exo ou +10’’ | intensité faible
mcF43 – Flow mobilité + respiration confirmé : apaisement actif | associer posture tenue + respiration régulée | flow profond avec cycles respiratoires | 3 cycles × 4 exos × 45–60’’, respiration 4-7-8, récup 30’’ | camel pose, pigeon dynamique, rotation thoracique, souffle carré | +durée posture ou +1 exo | intensité faible


🟧 G. Performances spécifiques


mcH01 – Préparation à l’effort débutant : mise en route douce | activer les chaînes motrices sans stress | routine d’éveil général | 3 blocs × 4’ (mobilité + cardio léger), récup 30’’ | balancements, montées de genoux, squats aérobie, bras-cercle | +30’’/bloc ou +1 exo coordination | faible à modérée
mcH02 – Préparation pic d’effort intermédiaire : activation neuro-musculaire | optimiser l’état d’alerte et la disponibilité | circuits dynamiques complets | 3 blocs × 5–6’ effort, récup 1’ | jumping jack, sprint sur place, gainage dynamique, push-up rapides | +1 exo ou -10’’ récup | modérée à élevée
mcH03 – Préparation pic d’effort confirmé : maximalisation énergétique | réveiller les filières et affiner la coordination | enchaînement explosif | 4 exos enchaînés × 30’’ effort / 30’’ récup | sprint, squat jump, fente plyo, push-up claps | +1 série ou -5’’ récup | élevée
mcH04 – Pré-compétition confirmé : affûtage final | stimulation sans surcharge | routine ciblée + récupération active | 2 blocs × 4’ effort (activations spécifiques), récup 1’ | drill rapide, visualisation, gainage, jumping jack | +1 exo ou -10’’ effort | modérée
mcH05 – Résistance mentale débutant : tolérance à l’effort léger | s’habituer à l’inconfort contrôlé | circuits modérés avec maintien d’effort | 2 circuits × 4 exos × 30’’ effort / 30’’ récup | squat air, wall sit, step touch, gainage | +10’’ effort ou -5’’ récup | modérée
mcH06 – Résistance mentale intermédiaire : engagement prolongé | maintenir l’effort sous contrainte | circuit sans pause | 3 tours × 5 exos × 45’’ effort, récup 15’’ | push-up, squat, rope, dips, gainage dynamique | +1 tour ou -5’’ récup | élevée
mcH07 – Résistance mentale confirmé : charge mentale + physique | effort volontaire sous inconfort croissant | séquences longues + concentration | 4 blocs × 3’ effort / 1’ récup | thruster, airbike, coordination croisée, burpees | +1 bloc ou +5’’ effort | très élevée
mcH08 – Coordination complexe confirmé : affinement moteur | améliorer la précision sous effort | multitâches enchaînés | 5 exos × 30’’ effort, récup 15’’ | crawl, sauts croisés, step + bras alternés, planche + touches épaules | +1 exo ou -5’’ récup | modérée
mcH09 – Conditions contraintes confirmé : adaptabilité | performer dans l’inconfort ou l’imprévu | séquences instables | 3 blocs × 4 exos × 40’’ effort, récup 20’’ | BOSU squat, fente instable, planche sur swiss ball, push-up asymétrique | +1 exo instable ou +résistance | élevée
mcH10 – Déclenchement explosif confirmé : explosivité neuromusculaire | libérer le max de puissance rapidement | séquences brèves max intensité | 4 séries × 3 exos (20’’ effort / 40’’ récup) | sprint, jump squat, push-up explosif | +1 série ou +intensité | très élevée
mcH11 – Endurance mentale débutant : engagement doux prolongé | s’habituer à l’effort simple dans la durée | blocs longs + maintien statique | 2 blocs × 8’ effort, maintien 30’’ toutes les 2’ | air squat, step touch, marche rapide, wall sit | +1 min ou +1 maintien | faible à modérée
mcH12 – Endurance mentale intermédiaire : continuité sous effort long | tenir malgré fatigue mentale | effort prolongé varié | 20–30’ effort continu, récup 2’ | cardio Z2 + gainage + push-up, shadowboxing | +5’ effort ou +1 mouvement | modérée
mcH13 – Endurance mentale confirmé : ténacité prolongée | maintenir engagement malgré fatigue | alternance filières | 4 cycles × 8’ (cardio/muscu/équilibre), récup 1’ | course, airbike, squat sur ballon, burpees | +1 cycle ou +1 zone cardio | élevée
mcH14 – Dépassement de seuil confirmé : seuil lactique + mental | franchir ses limites sous pression | HIIT lactique | 6 exos × 4 tours × 30’’ effort / 15’’ récup | squat jump, burpees, rope, thruster, step-up rapide, push-up | -5’’ récup ou +1 tour | extrême
mcH15 – Compétences avancées confirmé : maîtrise spécifique | performer sur des tâches complexes et précises | séquence technique sous fatigue | routine codifiée 20’ (6 exos spécifiques × 3 séries), récup 30’’ | propulsion unilatérale, tirage précis, fente dynamique, équilibre bras | +1 série ou -récup | élevée




* Chaque micro-cycle correspond à 1 à 2 semaines d’entraînement

* Le nombre de séances hebdo dépend du profil utilisateur (cf. profil_utilisateur.yaml)

* À partir du thème du microcycle, l’IA doit générer entre 2 et 10 séances :

   * en respectant la méthode d’entraînement

   * en alternant les zones musculaires si nécessaire (cf. répartition musculaire standard)

   * en respectant la logique de progression (intensité, récupération, temps, reps…)

   * en incluant à chaque séance : un échauffement adapté, un corps de séance aligné, un retour au calme

      * Pour chaque exercice, l’IA sélectionne dans la base exercices.json ceux compatibles avec :

         * la zone ciblée du jour (full body, haut, bas, core…)

         * les contraintes du microcycle (tempo, intensité, materiel, etc.)

         * les préférences utilisateur
